name,real_type,access_type,notes
Checked Locations,struct Checks,,
Received AP Item,struct APReceivedItem,,
Received Item Index,u32,,
Progressive Caps,struct ProgressiveCaps,,
New Convoy Array,u16[200],u16 *,
